Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
2571;12;BA;MOA;C516.5004.01;NON;;Valeur;Impôt sur les sociétés - Imputation;
2571;12;CA;MOA;C516.5004.01;NON;;Valeur;Impôt sur les sociétés - Montant à payer;
2571;12;CB;MOA;C516.5004.01;NON;;Valeur;Imposition Forfaitaire Annuelle de l'année;
2571;12;CC;MOA;C516.5004.01;NON;;Valeur;Contribution sur les Revenus Locatifs;
2571;12;CD;MOA;C516.5004.01;NON;;Valeur;Contribution Sociale;
2571;12;CE;MOA;C516.5004.01;NON;;Valeur;Montant total à payer (case 03 + case 05 + case 07 + case 08);
2571;12;DA;CCI;C889.7111.01;NON;TBX;Valeur;Impôt sur les sociétés - Minoration (art. v1668 du CGI) - case à cocher;
2571;12;DB;CCI;C889.7111.01;NON;TBX;Valeur;Contribution Sociale - Minoration (art. v1668 du CGI) - case à cocher;
2572;12;AA;MOA;C516.5004.01;NON;;Valeur;01 Impôt sur les sociétés - Montant restant à payer;
2572;12;AB;MOA;C516.5004.01;NON;;Valeur;03 Contribution Sociale - Montant restant à payer;
2572;12;AC;MOA;C516.5004.01;NON;;Valeur;04 Contribution sur les Revenus Locatifs - Montant restant à payer;
2572;12;AD;MOA;C516.5004.01;NON;;Valeur;05 Totaux - Montant restant à payer;
2572;12;AE;MOA;C516.5004.01;NON;;Valeur;02 Contribution exceptionnelle - Montant restant à payer;
2572;12;BA;MOA;C516.5004.01;NON;;Valeur;06 Impôt sur les sociétés - Excédents constatés;
2572;12;BB;MOA;C516.5004.01;NON;;Valeur;08 Contribution Sociale - Excédents constatés;
2572;12;BC;MOA;C516.5004.01;NON;;Valeur;09 Contribution sur les Revenus Locatifs - Excédents constatés;
2572;12;BD;MOA;C516.5004.01;NON;;Valeur;10 Totaux - Excédents constatés;
2572;12;CA;MOA;C516.5004.01;NON;;Valeur;11 Montant total à payer (= (case 05 - case 10) ou = 0 si montant négatif );
2572;12;DA;MOA;C516.5004.01;NON;;Valeur;12 Montant total de l'excédent (= (case 10 - case 05) ou = 0 si montant négatif);
2572;12;EA;MOA;C516.5004.01;NON;;Valeur;13 Montant de l'excédent imputé sur le premier acompte de l'exercice suivant;
2572;12;EB;MOA;C516.5004.01;NON;;Valeur;14 Remboursement d'excédent de versement demandé (case 12 - case 13);
2572;12;FA;CCI;C889.7111.01;NON;TBX;Valeur;Demande d'imputation sur échéance future, cocher la case;
2572;12;GA;MOA;C516.5004.01;NON;;Valeur;I-A01 Impôt sur les Sociétés (au taux normal);
2572;12;GB;MOA;C516.5004.01;NON;;Valeur;I-A02 Impôt sur les Sociétés (au taux réduit);
2572;12;GC;MOA;C516.5004.01;NON;;Valeur;I-A03 Impôt sur les plus values nettes;
2572;12;GD;MOA;C516.5004.01;NON;;Valeur;I-A04 Autre impôt à taux particulier;
2572;12;GE;MOA;C516.5004.01;NON;;Valeur;15 I-A05 Total de l'IS brut;
2572;12;HA;MOA;C516.5004.01;NON;;Valeur;36 I-B01 Taxes assimilées à l'IS de l'exercice - Contribution Sociale sur l'IS due au titre de l'exercice, avant toute déduction;
2572;12;HB;MOA;C516.5004.01;NON;;Valeur;37 I-B02 Taxes assimilées à l'IS de l'exercice - Contribution Annuelle sur les Revenus Locatifs due au titre de l'exercice, avant toute déduction;
2572;12;HC;MOA;C516.5004.02;NON;;Valeur;41 I-B03 Montant de la contribution exceptionnelle au titre de l'exercice;
2572;12;IA;MOA;C516.5004.01;NON;;Valeur;38 I-C01 Données utiles au calcul des acomptes de l'exercice suivant - Montant d'Impôt exclu du calcul des acomptes IS;
2572;12;JA;MOA;C516.5004.01;NON;;Valeur;16 I-D01 Créances non reportables et non restituables - Crédits d'impôts sur valeurs mobilières;
2572;12;KA;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - FOR Crédit d'impôt formation des dirigeants d'entreprise;
