Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
1330CVAE;15;AB;MOA;C516.5004.01;NON;;Valeur;Valeur ajoutée soumise à la CVAE;
1330CVAE;15;AC;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence;
1330CVAE;15;AD;CCI;C889.7111.01;NON;TBX;Valeur;Entreprise mono établissement et n'employant pas de salariés exerçant une activité de plus de trois mois dans plusieurs communes (chantiers, missions);
1330CVAE;15;AE;DTM;C507.2380.01;NON;102;Valeur;Date de signature de la déclaration;Format attendu : yyyyMMdd
1330CVAE;15;AF;NAD;0000.3164.01;NON;;AdresseVille;Ville de signature de la déclaration;SIGNATURE
1330CVAE;15;AF;NAD;C080.3036.01;NON;;Designation;Nom du signataire de la déclaration;SIGNATURE
1330CVAE;15;AF;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité du signataire de la déclaration;SIGNATURE
1330CVAE;15;AF;NAD;C080.3036.03;NON;;DesignationSuite2;Signature du déclarant, titre du signataire;SIGNATURE
1330CVAE;15;AG;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence du groupe;
1330CVAE;15;AH;DTM;C507.2380.01;NON;102;Valeur;Date de cessation de l'entreprise;Format attendu : yyyyMMdd
1330CVAE;15;BA;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;15;BA;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;15;BB;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;15;BB;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;15;BC;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;15;BC;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;15;BD;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;15;BD;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;15;BE;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (5);IDENTIFIANT COMMUNE
1330CVAE;15;BE;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (5);IDENTIFIANT COMMUNE
1330CVAE;15;BF;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (6);IDENTIFIANT COMMUNE
1330CVAE;15;BF;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (6);IDENTIFIANT COMMUNE
1330CVAE;15;BG;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (7);IDENTIFIANT COMMUNE
1330CVAE;15;BG;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (7);IDENTIFIANT COMMUNE
1330CVAE;15;BH;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (1);COMMUNE
1330CVAE;15;BJ;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (2);COMMUNE
1330CVAE;15;BK;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (3);COMMUNE
1330CVAE;15;BL;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (4);COMMUNE
1330CVAE;15;BM;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (5);COMMUNE
1330CVAE;15;BN;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (6);COMMUNE
1330CVAE;15;BP;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (7);COMMUNE
1330CVAE;15;BQ;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation du chantier/lieu d'exercice (8);COMMUNE
1330CVAE;15;CA;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (1);
1330CVAE;15;CB;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (2);
1330CVAE;15;CC;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (3);
1330CVAE;15;CD;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (4);
1330CVAE;15;CE;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (5);
1330CVAE;15;CF;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (6);
1330CVAE;15;CG;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation de l'établissement (7);
1330CVAE;15;CH;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (1);
1330CVAE;15;CJ;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (2);
1330CVAE;15;CK;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (3);
1330CVAE;15;CL;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (4);
1330CVAE;15;CM;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (5);
1330CVAE;15;CN;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (6);
1330CVAE;15;CP;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (7);
1330CVAE;15;CQ;CCI;C889.7111.01;OUI;TDT;Valeur;Numéro du département de situation du chantier/lieu d'exercice (8);
