Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
3310A;15;AE;MOA;C516.5004.01;NON;;Valeur;Ligne utilisable pour un nouveau taux en métropole (base hors taxe)   (ligne à blanc);
3310A;15;AF;MOA;C516.5004.01;NON;;Valeur;Ligne utilisable pour un nouveau taux en métropole (taxe due)   (ligne à blanc);
3310A;15;BA;MOA;C516.5004.01;NON;;Valeur;Retenue de TVA sur droits d'auteur base HT;
3310A;15;BB;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier taux 2,10% base HT;
3310A;15;BC;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier, ancien taux base HT;
3310A;15;BE;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 0,90% base HT;
3310A;15;BF;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 2,10% base HT;
3310A;15;BK;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 13% base HT;
3310A;15;BM;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier, anciens taux base HT;
3310A;15;BN;MOA;C516.5004.01;NON;;Valeur;Total TVA sur droits d'auteurs et TVA due à taux particuliers base HT;
3310A;15;BP;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,05%, base HT;
3310A;15;BQ;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,75%, base HT;
3310A;15;BR;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un ancien taux, base HT;
3310A;15;BS;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 10% base HT;
3310A;15;CA;MOA;C516.5004.01;NON;;Valeur;Retenue de TVA sur droits d'auteur taxe due;
3310A;15;CB;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentaleà un taux particulier taux 2,10% taxe due;
3310A;15;CC;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier anciens taux taxe due;
3310A;15;CE;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 0,90% taxe due;
3310A;15;CF;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 2,10 % taxe due;
3310A;15;CK;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 13% taxe due;
3310A;15;CM;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier anciens taux taxe due;
3310A;15;CN;MOA;C516.5004.01;NON;;Valeur;Total TVA sur droits d'auteurs et TVA due à taux particuliers taxe due;
3310A;15;CP;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,05%, taxe due;
3310A;15;CQ;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,75%, taxe due;
3310A;15;CR;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un ancien taux, taxe due;
3310A;15;CS;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 10% taxe due;
3310A;15;DA;FTX;C108.4440.01;NON;;TexteLibre1;Commentaires, ligne 1;1ère zone de 512 c
